device_type,device_name,action_type,action_value,start_time,end_time
Camera,camera_IO,open,{},2023-09-01 23:02:53.871,2023-09-02 10:19:45.043
Dome,dome_IO,SlewToAzimuth,230,2023-09-01 23:02:53.871,2023-09-02 10:19:45.043
Camera,camera_IO,flats,"{'filter': ['I+z', 'I+z', 'I+z', 'I+z', 'I+z'], 'n': [10, 10, 10, 10, 10]}",2023-09-01 23:02:53.871,2023-09-02 10:49:45.043
Camera,camera_IO,object,"{'object': 'Sp2037-1137', 'filter': 'I+z', 'ra': 309.27981666666665, 'dec': -11.632596944444446, 'exptime': '40', 'guiding': False, 'pointing': False}",2023-09-14 23:11:00.017,2023-09-15 02:28:40.025
Camera,camera_IO,object,"{'object': 'dome_rot', 'filter': 'I+z', 'ra': 333.65187499999996, 'dec': -36.84395388888889, 'exptime': '10', 'guiding': False, 'pointing': False}",2023-09-15 02:28:40.025,2023-09-15 02:30:40.025
Camera,camera_IO,object,"{'object': 'Sp2049+3336.01', 'filter': 'I+z', 'ra': 312.3641666666666, 'dec': 33.61415888888889, 'exptime': '19', 'guiding': False, 'pointing': False}",2023-09-15 02:30:40.025,2023-09-15 03:57:20.025
Camera,camera_IO,object,"{'object': 'Sp2037-1137_2', 'filter': 'I+z', 'ra': 309.27981666666665, 'dec': -11.632596944444446, 'exptime': '40', 'guiding': False, 'pointing': False}",2023-09-15 03:57:20.025,2023-09-15 04:32:40.017
Camera,camera_IO,object,"{'object': 'Sp0051-2254', 'filter': 'I+z', 'ra': 12.896841666666663, 'dec': -22.908586944444444, 'exptime': '10', 'guiding': False, 'pointing': False}",2023-09-15 04:33:20.029,2023-09-15 10:03:00.029
Camera,camera_IO,flats,"{'filter': ['I+z', 'I+z', 'I+z', 'I+z', 'I+z'], 'n': [10, 10, 10, 10, 10]}",2023-09-15 10:03:00.029,2023-09-15 10:33:00.029
Camera,camera_IO,close,{},2023-09-02 10:19:45.043,2023-09-02 10:20:45.043
Camera,camera_IO,calibration,"{'exptime': ['40', '10', '19', '40', '10'], 'n': [10, 10, 10, 10, 10]}",2023-09-02 10:19:45.043,2023-09-02 10:49:45.043
