#Epoch,16th percentile,50th percentile,84th percentile,50th percentile iso utc
0,2458389.502024396,2458389.5022396734,2458389.5025009965,2018-09-28 00:03:13.508
1,2458395.161978628,2458395.1621603235,2458395.162439161,2018-10-03 15:53:30.652
2,2458400.822305464,2458400.822495176,2458400.822748467,2018-10-09 07:44:23.583
3,2458406.482605831,2458406.4828005773,2458406.483079552,2018-10-14 23:35:13.970
4,2458412.142604908,2458412.142815929,2458412.143090633,2018-10-20 15:25:39.296
5,2458417.802895028,2458417.8030937323,2458417.8033758258,2018-10-26 07:16:27.298
6,2458423.4631591733,2458423.4633671674,2458423.463638794,2018-10-31 23:07:14.923
7,2458429.1233455525,2458429.123577286,2458429.1238290747,2018-11-06 14:57:57.078
8,2458434.783578369,2458434.783785728,2458434.784031334,2018-11-12 06:48:39.087
9,2458440.44385715,2458440.4440656686,2458440.4443348823,2018-11-17 22:39:27.274
10,2458446.1042008395,2458446.1044042846,2458446.104637525,2018-11-23 14:30:20.530
11,2458451.7643225784,2458451.764524221,2458451.764741542,2018-11-29 06:20:54.893
12,2458457.4246094767,2458457.424825067,2458457.425058659,2018-12-04 22:11:44.886
13,2458463.085101197,2458463.0852949694,2458463.0855403934,2018-12-10 14:02:49.485
14,2458468.7451206674,2458468.7453268124,2458468.7455713525,2018-12-16 05:53:16.237
15,2458474.4054971044,2458474.4056840213,2458474.405948514,2018-12-21 21:44:11.099
16,2458480.065952505,2458480.0661676843,2458480.066455498,2018-12-27 13:35:16.888
17,2458485.725954181,2458485.7261673366,2458485.726417756,2019-01-02 05:25:40.858
18,2458491.3863780773,2458491.386575507,2458491.386832284,2019-01-07 21:16:40.124
19,2458497.0468245745,2458497.047001588,2458497.0472879494,2019-01-13 13:07:40.937
20,2458502.7068376723,2458502.7070297264,2458502.707312813,2019-01-19 04:58:07.368
21,2458508.367274608,2458508.3674523346,2458508.367721012,2019-01-24 20:49:07.882
22,2458514.027672067,2458514.0278353654,2458514.028108485,2019-01-30 12:40:04.976
