gaia_Id,Sp_ID,enough_comparisons
2.421137424841636e+18,Sp0000-1245,True
2.772182900286956e+18,Sp0001+1535,False
2.738415592529108e+18,Sp0002+0115,True
4.23130041883476e+17,Sp0004+5843,False
4.996141155411984e+18,Sp0004-4044,False
2.3407363242547354e+18,Sp0004-2058,False
2.414623952318068e+18,Sp0004-1709,False
2.739077223651402e+18,Sp0005+0217,False
2.340605825968413e+18,Sp0005-2157,False
2.7417833622856627e+18,Sp0006+0439,False
2.44163050051708e+18,Sp0006-0732,False
2.336406413104712e+18,Sp0007-2458,False
4.202354787442482e+17,Sp0008+5453,False
3.936215249103433e+17,Sp0008+4918,True
2.8602970405821537e+18,Sp0008+2911,False
2.3647400718376607e+18,Sp0010-2031,False
2.429635550212645e+18,Sp0010-0746,False
2.3102404372498345e+18,Sp0011-3334,False
4.230271044075766e+17,Sp0011+5908,True
3.9579763021958e+17,Sp0012+5159,False
3.830307196721185e+17,Sp0013+4012,False
2.361294885296928e+18,Sp0013-2235,False
2.3163631751239383e+18,Sp0014-3245,False
4.977142934516994e+18,Sp0014-4844,False
3.8384796175408704e+17,Sp0015+4239,False
2.876239130257161e+18,Sp0015+3516,True
4.9955379659094e+18,Sp0017-4054,False
4.900453540369793e+18,Sp0018-6356,False
2.5455635207589816e+18,Sp0019+0030,False
2.7412507863413565e+18,Sp0019+0450,True
4.998742462483975e+18,Sp0019-3724,False
4.191219483433979e+17,Sp0019+5213,True
2.8634195848865423e+18,Sp0020+3305,True
2.3612132164928763e+18,Sp0020-2155,False
4.99214147570736e+18,Sp0021-4244,False
2.755265775727402e+18,Sp0022+1203,False
4.1962435643870515e+17,Sp0025+5422,True
2.7478376469689866e+18,Sp0026+0632,False
4.92317969409811e+18,Sp0026-5428,False
4.923251780829182e+18,Sp0027-5401,False
2.8000812211355054e+18,Sp0028+2249,False
2.755053363824509e+18,Sp0029+1255,False
2.8000235654943887e+18,Sp0030+2244,False
4.99750554626226e+18,Sp0031-3840,False
2.7479107301367685e+18,Sp0031+0649,False
2.547532539925751e+18,Sp0032+0219,False
2.858055063359237e+18,Sp0032+2927,False
2.373841073178592e+18,Sp0033-1521,False
3.8101747952126336e+17,Sp0034+4050,True
2.857774451671082e+18,Sp0035+2848,False
2.794735086363871e+18,Sp0036+1821,False
2.362391480640928e+18,Sp0036-2031,False
3.6866336687035405e+17,Sp0037+3910,False
2.7763244857107753e+18,Sp0041+1341,False
2.5233398137821476e+18,Sp0042-0712,False
2.806483501252044e+18,Sp0043+2426,False
4.2448632813446144e+17,Sp0044+5610,True
5.001224335106302e+18,Sp0045-3604,False
2.5507668865226097e+18,Sp0046+0252,False
5.005816887800834e+18,Sp0046-3442,False
2.5230856547971533e+18,Sp0049-0635,False
2.3565902167750216e+18,Sp0050-2008,False
2.372272516761782e+18,Sp0050-1538,False
2.7889072967796055e+18,Sp0051+1844,False
2.349207644734248e+18,Sp0051-2251,False
2.3492063433595075e+18,Sp0051-2254,False
5.2633189119406874e+17,Sp0052+6724,True
2.342686956666282e+18,Sp0052-2705,False
5.00166870960199e+18,Sp0053-3631,False
4.0288470421542656e+17,Sp0053+4942,True
4.0289597420647974e+17,Sp0053+5001,False
4.920890648327138e+18,Sp0055-5450,False
5.031016873971269e+18,Sp0055-3052,False
2.4762624667959183e+18,Sp0058-0651,False
4.0221785040993946e+17,Sp0058+4835,False
4.241274063104919e+17,Sp0059+5726,True
4.0510262532536384e+17,Sp0102+5254,True
4.70945009553963e+18,Sp0102-6322,False
4.989399774745144e+18,Sp0102-3737,False
3.770032957116064e+17,Sp0103+4509,False
2.5361299128559e+18,Sp0103-0044,False
4.926974486681928e+18,Sp0103-5351,False
3.074094323541331e+17,Sp0103+2626,False
2.777311464900902e+18,Sp0104+1457,False
4.903260597849834e+18,Sp0106-5933,False
2.804241012928465e+18,Sp0107+2435,True
4.928644747924607e+18,Sp0109-5100,True
2.576519892681546e+18,Sp0109+0625,False
4.928939932436444e+18,Sp0109-4954,False
3.099773804150424e+17,Sp0109+2949,True
2.531195858721613e+18,Sp0109-0343,True
4.929042942932182e+18,Sp0111-4908,False
2.4560225193129216e+18,Sp0113-1408,False
4.705936189520134e+18,Sp0116-6455,False
2.7857696642572974e+18,Sp0117+1752,False
2.4566468013998607e+18,Sp0117-1247,False
2.4723877577557673e+18,Sp0120-0741,False
4.93507083933588e+18,Sp0121-4447,False
4.983839338285336e+18,Sp0123-4240,True
5.724816583793129e+17,Sp0124+8334,False
5.3185930794199424e+17,Sp0124+6819,True
3.0906244930182106e+17,Sp0125+2847,True
2.5903467667968184e+18,Sp0126+1419,False
5.016743873013788e+18,Sp0127-3140,False
2.559347994957228e+18,Sp0128+0211,True
2.5935377514087076e+18,Sp0130+1721,False
4.934682372428878e+18,Sp0130-4445,False
2.4854332570605414e+18,Sp0130-0211,False
2.4650080075084856e+18,Sp0132-0910,False
2.951611863526048e+17,Sp0132+2552,False
5.015644533184834e+18,Sp0134-3255,False
2.586051833860608e+18,Sp0135+1205,False
9.471299676928986e+16,Sp0141+1804,False
5.038991425649133e+18,Sp0141-2417,False
2.4671821543130276e+18,Sp0144-0716,False
4.061231439160572e+17,Sp0144+5121,True
5.022239300847947e+18,Sp0148-3024,False
4.712623767133748e+18,Sp0148-6209,False
4.699355032608266e+18,Sp0151-6430,False
2.5061369192783816e+18,Sp0151-0051,False
5.182011014988142e+17,Sp0151+6423,True
3.491864804578721e+17,Sp0154+4305,False
2.570824594248255e+18,Sp0155+0950,False
2.512629230496997e+18,Sp0156+0331,False
5.188913585639649e+17,Sp0157+6656,False
9.119631620196518e+16,Sp0158+1807,False
2.4908790350737326e+18,Sp0200-0554,False
2.571094283835173e+18,Sp0202+1020,False
5.221852849468658e+17,Sp0202+7053,True
4.958339052296792e+18,Sp0204-3945,False
4.96794576026671e+18,Sp0204-3632,False
7.663060463206694e+16,Sp0205+1251,False
2.4905022805425853e+18,Sp0205-0653,False
4.967628688601251e+18,Sp0207-3721,False
7.721647253068774e+16,Sp0207+1355,False
5.020168989172195e+18,Sp0207-2955,False
3.582753528129138e+17,Sp0208+4949,True
1.0544976646876595e+17,Sp0208+2542,False
4.936518694287843e+18,Sp0210-5228,False
5.14840331233217e+18,Sp0211-1427,False
1.0432039622818573e+17,Sp0212+2433,True
5.151948893734912e+18,Sp0212-1036,False
7.235481007046822e+16,Sp0212+1032,False
3.522001387496974e+17,Sp0213+4444,True
5.149965026866229e+18,Sp0213-1343,False
2.4928667802979994e+18,Sp0214-0357,False
4.97189201057698e+18,Sp0215-3040,False
5.123785831102567e+18,Sp0216-2200,True
7.420398246985882e+16,Sp0216+1335,False
3.2794432812664986e+17,Sp0217+3526,True
4.971581089304028e+18,Sp0218-3133,False
2.487828199544312e+18,Sp0218-0617,True
5.131045975099846e+18,Sp0219-1938,False
4.592154680530121e+17,Sp0219+5912,True
1.3219449346181709e+17,Sp0222+3033,True
5.11681788231988e+18,Sp0222-2732,False
5.136886757024589e+17,Sp0225+6229,True
5.145416111038393e+18,Sp0227-1624,True
4.699699420265888e+18,Sp0227-6447,False
4.5154833294746496e+17,Sp0227+5034,True
2.515419825368053e+18,Sp0228+0310,True
8.249361294801382e+16,Sp0228+1639,True
4.700401321000356e+18,Sp0228-6325,False
3.5458278044959424e+17,Sp0229+4906,False
5.175327809475722e+18,Sp0230-0953,False
5.126647207035089e+18,Sp0232-2152,True
1.3323978542163008e+17,Sp0233+3134,False
8.918616842816563e+16,Sp0233+2209,True
4.6511966939046886e+17,Sp0234+6012,False
5.141425678499928e+17,Sp0235+6314,True
5.062172669818054e+18,Sp0237-3434,True
5.132321541732365e+18,Sp0239-1735,False
1.8973108224425856e+16,Sp0240+0727,False
4.540103413452298e+17,Sp0241+5444,True
