Sp_ID, 2MASS_ID, Gaia_ID, RA, DEC, G, I, J, H, K, Dis, e_Dis, M, e_M, R, e_R,  T_eff, e_Teff, SpT, e_Spt, SNR_TESS_temp, SNR_Spec_temp, SNR_TESS_HZ, SNR_Spec_HZ, SNR_JWST_HZ_tr,  SNR_JWST_HZ_occ, SNR_JWST_temp_occ
Sp0339+2457  00000000-0000000 0000000000000000000  54.9701667  24.9575083 50.00 15.30 12.84 50.00 11.74 19.2700  1.9300 0.08 0.00 0.10 0.02 2539.  144.  8.0  1.0   3.78 14.98  2.67 10.59  5.15  1.56  4.75
Sp0720-0846  00000000-0000000 0000000000000000000 110.0135417  -8.7803028 50.00 13.68 10.63 50.00  9.47  6.7200  0.0500 0.08 0.00 0.10 0.02 2395.  145.  9.0  1.0  14.73 24.67 10.42 17.45  7.37  3.91 12.13
Sp0903+0540  00000000-0000000 0000000000000000000 135.8373333   5.6705694 50.00 12.92 10.77 50.00  9.84 11.0000  1.0000 0.10 0.01 0.13 0.02 2683.  146.  7.0  1.0  13.52 15.49  9.56 10.95  5.11  2.12  6.59
Sp1056+0700  00000000-0000000 0000000000000000000 164.1207917   7.0144444 50.00  9.02  7.09 50.00  6.09  2.4200  0.0100 0.11 0.00 0.13 0.02 2831.  154.  6.0  1.0 134.96 15.24 95.43 10.78  5.66  3.90 12.79
Sp0004-4044  00043484-4044058 4996141155411984128   1.1461910 -40.7351291 18.35 16.53 13.11 12.05 11.40 12.1689  0.0560 0.07 0.00 0.09 0.01 2040.  105. 11.4  1.1   2.13 15.99  1.51 11.31  6.52  3.34 10.13
Sp0036+1821  00361617+1821104 2794735086363871360   9.0673410  18.3528589 17.52 15.89 12.47 11.59 11.06  8.7337  0.0161 0.07 0.02 0.09 0.01 1939.  105. 12.1  1.1   3.91 20.06  2.77 14.18  6.24  3.75 11.41
Sp0102-3737  01025100-3737438 4989399774745144448  15.7143748 -37.6288257 15.37 13.36 11.13 10.48 10.07 11.3700  0.0156 0.09 0.00 0.11 0.01 2648.  105.  7.2  1.1  13.12 18.40  9.28 13.45  5.92  2.31  7.13
Sp0109-5100  01090150-5100494 4928644747924606848  17.2568975 -51.0137235 16.67 14.82 12.23 11.54 11.09 15.8895  0.0297 0.09 0.00 0.11 0.01 2506.  105.  8.2  1.1   4.16 15.73  2.94 11.12  5.17  1.79  5.49
Sp0109-0343  01095117-0343264 2531195858721613056  17.4633464  -3.7239975 16.35 14.75 11.69 10.93 10.43 10.5843  0.0358 0.08 0.00 0.10 0.01 2387.  105.  9.1  1.1   5.22 21.82  3.69 15.43  6.66  2.89  8.86
Sp0215-3040  02150802-3040011 4971892010576979840  33.7840486 -30.6670547 15.86 13.86 11.62 10.95 10.54 14.0463  0.0303 0.09 0.00 0.11 0.01 2641.  105.  7.3  1.1  10.70 17.10  7.57 12.39  5.51  1.94  5.97
Sp0253+1652  02530084+1652532 35227046884571776    43.2543788  16.8812900 12.27 10.46  8.39  7.88  7.58  3.8300  0.0040 0.09 0.00 0.12 0.02 2743.  105.  6.6  1.1  72.10 16.92 50.98 13.77  6.05  3.83 12.34
Sp0255-4700  02550357-4700509 4752399493622045696  43.7674256 -47.0142628 18.61 17.29 13.25 12.20 11.56  4.8683  0.0061 0.04 0.02 0.09 0.02 1335.  104. 18.0  3.0   1.57 11.81  1.11  8.35  5.02  7.25 22.06
Sp0306-3647  03061159-3647528 5047423236725995136  46.5481457 -36.7980146 16.02 14.16 11.69 11.07 10.63 13.2407  0.0179 0.09 0.00 0.11 0.01 2538.  105.  8.0  1.1   7.92 17.32  5.60 12.25  5.42  1.99  6.12
Sp0314+1603  03140344+1603056 31235033696866688    48.5142992  16.0515210 17.23 15.81 12.53 11.82 11.24 13.6033  0.0514 0.08 0.00 0.10 0.01 2238.  105. 10.1  1.1   2.96 15.62  2.09 11.04  5.35  2.36  7.19
Sp0320+1854  03205965+1854233 56252256123908096    50.2488814  18.9063256 16.13 14.02 11.76 11.07 10.64 14.6283  0.0322 0.09 0.00 0.11 0.01 2631.  105.  7.4  1.1  10.04 17.20  7.10 12.26  5.54  1.92  5.89
Sp0331-3042  03313025-3042383 5055805741577757824  52.8761044 -30.7107841 15.65 13.60 11.36 10.70 10.26 12.5000  0.0185 0.09 0.00 0.11 0.01 2641.  105.  7.3  1.1  11.87 17.88  8.40 12.96  5.79  2.16  6.67
Sp0334-4953  03341218-4953322 4736655036868019072  53.5565235 -49.8922269 15.86 14.61 11.38 10.82 10.39  8.8717  0.0077 0.08 0.00 0.11 0.01 2268.  105.  9.9  1.1   5.32 20.86  3.76 14.75  5.87  2.92  9.01
Sp0339-3525  03393521-3525440 4860376345833699840  54.8971877 -35.4287857 15.47 13.90 10.72 10.02  9.55  6.4168  0.0043 0.08 0.00 0.10 0.01 2313.  105.  9.6  1.1  14.45 26.13 10.22 18.48  7.52  4.19 12.98
Sp0351-0052  03510004-0052452 3257243312560240000  57.7501140  -0.8791442 15.34 13.25 11.30 10.61 10.23 14.6812  0.0405 0.10 0.00 0.12 0.01 2818.  104.  6.1  1.0  11.87 15.66  8.39 12.64  5.33  1.84  5.70
Sp0401+2849  04013766+2849529 167202325215063168   60.4063552  28.8313088 18.47 16.86 13.41 12.43 11.82 12.4422  0.0408 0.07 0.02 0.09 0.01 1910.  105. 12.3  1.1   1.61 11.35  1.14  8.03  5.18  2.99  9.04
Sp0419+4233  04195212+4233304 229155579195699456   64.9680305  42.5584518 15.58 13.45 11.09 10.38  9.90 10.2007  0.0198 0.09 0.00 0.11 0.01 2589.  105.  7.7  1.1  13.91 20.39  9.84 14.42  6.51  2.69  8.30
Sp0435-1606  04351612-1606574 3171631420210205056  68.8173092 -16.1159039 14.63 12.31 10.41  9.78  9.35 10.5739  0.0284 0.11 0.00 0.13 0.02 2862.  105.  5.8  1.0  20.44 14.87 14.45 12.68  5.33  2.25  7.05
Sp0440-0530  04402325-0530082 3200303384927512960  70.0969905  -5.5022581 14.93 12.76 10.66  9.99  9.54  9.7517  0.0106 0.10 0.00 0.11 0.01 2714.  105.  6.8  1.1  18.06 18.82 12.77 14.11  6.33  2.68  8.35
Sp0510+2714  05102012+2714032 3421840993510952192  77.5835881  27.2338531 14.97 12.73 10.70  9.96  9.56 10.2584  0.0190 0.10 0.00 0.11 0.01 2766.  104.  6.4  1.0  18.46 18.75 13.05 14.29  6.40  2.63  8.16
Sp0517-3349  05173766-3349027 4825880783419986432  79.4074682 -33.8175201 16.51 14.22 12.00 11.32 10.83 16.8476  0.0311 0.09 0.00 0.11 0.01 2654.  105.  7.2  1.1   6.97 16.09  4.93 11.60  5.23  1.72  5.29
Sp0523-1403  05233822-1403022 2985035874544160384  80.9092803 -14.0505580 18.06 16.50 13.08 12.22 11.64 12.7478  0.0306 0.07 0.00 0.09 0.01 2014.  105. 11.6  1.1   1.86 13.79  1.32  9.75  5.25  2.74  8.33
Sp0539+4038  05392474+4038437 191109281417914880   84.8542398  40.6452329 15.30 13.30 11.11 10.45 10.04 11.4125  0.0252 0.09 0.00 0.11 0.01 2665.  105.  7.1  1.1  13.48 18.46  9.53 13.57  5.97  2.32  7.16
Sp0602+3910  06023045+3910592 3457493517036545280  90.6271444  39.1829407 17.26 15.56 12.30 11.45 10.87 11.6692  0.0231 0.08 0.00 0.10 0.01 2254.  105. 10.0  1.0   3.75 20.00  2.65 14.14  6.60  2.98  9.08
Sp0652+4710  06523073+4710348 954697944875755136  103.1277590  47.1763705 18.82 17.24 13.51 12.38 11.69  9.1101  0.0365 0.06 0.01 0.09 0.01 1681.  104. 14.1  1.3   1.52 11.40  1.07  8.06  5.50  4.31 13.02
