id,Gaia_ID,soi,program,Sp_ID,RA,DEC,num_stel,num_plan,num_spec,num_img,fc_url,last_mod,last_mod_by,mag_g,J,mag_h,mag_ks,mag_g_err,mag_j_err,mag_h_err,mag_ks_err,nb_hours_surved,Program,SNR_JWST_HZ_tr,SpT,spt_err,cf,Unnamed: 28,texp_spc,Filter_spc,texp_trap,Filter_trap,telescope,nb_hours_threshold,SNR_TESS_temp,SNR_Spec_temp,SNR_SPIRIT,texp_spirit
1,2421137424841635840,1011,3,Sp0000-1245,0.119375,-12.754211,0,0,0,0,,2021-03-19 21:24:49,dsebastian,17.771,13.2,12.45,11.97,0.002,0.026000000000000002,0.023,0.023,0.0,3,3.83,6.6,1.0,0.03,,0,I+z,0,I+z,,100,0,0,6.561595434807362,31.281581854964344
2,2772182900286956160,1012,3,Sp0001+1535,0.300711,15.593207000000001,0,0,0,0,,2021-03-19 21:26:25,dsebastian,20.798000000000002,15.52,14.51,13.71,0.013000000000000001,0.062,0.053,0.044000000000000004,0.0,3,2.42,12.5,1.2,0.17,,0,I+z,0,I+z,,100,0,0,0.4937418017521059,103.87232315194497
3,2738415592529108096,1,1,Sp0002+0115,0.525907,1.260039,0,0,0,0,,2021-03-19 21:26:25,dsebastian,16.337,12.17,11.54,11.13,0.001,0.022000000000000002,0.023,0.023,38.925,1,4.48,6.5,1.0,0.04,,0,I+z,0,I+z,,200,0,0,8.78299074039316,15.818806825597258
4,423130041883475968,1013,3,Sp0004+5843,1.031405,58.71682,0,0,0,0,,2021-03-19 21:26:25,dsebastian,18.371,13.7,12.99,12.48,0.003,0.043,0.043,0.035,0.0,3,3.19,7.4,1.1,1.79,,0,I+z,0,I+z,,100,0,0,4.0367847891555355,47.92637350350545
5,2414623952318068224,1014,2,Sp0004-1709,1.239817,-17.160267,0,0,0,0,,2021-03-19 21:26:25,dsebastian,14.605,11.0,10.46,10.08,0.001,0.022000000000000002,0.021,0.021,0.0,2,3.8,5.0,0.9,0.0,,0,I+z,0,I+z,,100,0,0,7.301257974029914,6.696833531528838
6,2340736324254735488,2,1,Sp0004-2058,1.173014,-20.974966000000002,0,0,0,0,,2021-03-19 21:26:25,atriaud,16.869,12.4,11.83,11.4,0.001,0.022000000000000002,0.019,0.023,169.78,1,4.57,9.4,1.1,0.22,,0,I+z,0,I+z,,200,0,0,4.38219660965481,25.81434264269716
7,4996141155411984128,1015,1,Sp0004-4044,1.146191,-40.73513,0,0,0,0,,2021-03-19 21:26:25,dsebastian,18.352999999999998,13.11,12.05,11.4,0.003,0.024,0.026000000000000002,0.026000000000000002,0.0,1,1.21,11.4,1.1,0.38,,0,I+z,0,I+z,,200,0,0,4.149720540521222,34.332358672975694
8,2739077223651402240,1016,3,Sp0005+0217,1.257625,2.286625,0,0,0,0,,2021-03-19 21:26:25,dsebastian,17.828,13.69,13.06,12.68,0.002,0.028999999999999998,0.035,0.023,0.0,3,2.76,7.0,1.1,0.01,,0,I+z,0,I+z,,100,0,0,3.686362151080276,46.82360429032204
9,2340605825968413184,3,3,Sp0005-2157,1.4521620000000002,-21.95549,0,0,0,0,,2021-03-19 21:26:25,dsebastian,17.625999999999998,13.27,12.62,12.2,0.002,0.025,0.024,0.03,0.0,3,3.57,8.4,1.1,0.07,,0,I+z,0,I+z,,100,0,0,3.1352762923225184,38.991153723210246
10,2741783362285662592,4,3,Sp0006+0439,1.609286,4.653242,0,0,0,0,,2021-03-19 21:26:25,dsebastian,17.017,12.96,12.35,12.01,0.001,0.026000000000000002,0.026000000000000002,0.024,0.0,3,3.5,7.2,1.1,0.0,,0,I+z,0,I+z,,100,0,0,5.576089423188705,30.995998682880998
