id,Gaia_ID,soi,program,Sp_ID,RA,DEC,num_stel,num_plan,num_spec,num_img,fc_url,last_mod,last_mod_by,mag_g,J,mag_h,mag_ks,mag_g_err,mag_j_err,mag_h_err,mag_ks_err,nb_hours_surved,Program,SNR_JWST_HZ_tr,SpT,spt_err,cf,teff,teff_error,dist,dist_error,mass,mass_error,radius,radius_error,lum,lum_error,phot_spt,phot_spt_ref,spec_spt,spec_spt_ref,Unnamed: 42,texp_spc,Filter_spc,texp_trap,Filter_trap,telescope,nb_hours_threshold,SNR_TESS_temp,SNR_Spec_temp,SNR_SPIRIT,texp_spirit
1,2421137424841635840,1011,3,Sp0000-1245,0.119375,-12.754211,0,0,0,0,,2021-03-19 21:24:49,dsebastian,17.771,13.2,12.45,11.97,0.002,0.026,0.023,0.023,0.0,3,3.83,6.6,1.0,0.03,2743.0,105.0,31.3,0.3,0.1,0.001,0.115,0.01,0.0006740850714554,2.3950264011653898e-05,,,M9.2V,2014ApJ...794..143B,,0,I+z,0,I+z,,100,0,0,6.561595434807362,31.28158185496434
2,2772182900286956160,1012,3,Sp0001+1535,0.300711,15.593207,0,0,0,0,,2021-03-19 21:26:25,dsebastian,20.798,15.52,14.51,13.71,0.013,0.062,0.053,0.044,0.0,3,2.42,12.5,1.2,0.17,1891.0,116.0,31.6,1.8,0.072,0.006,0.088,0.01,9.005917144308382e-05,1.4034640101955362e-05,L4,2004AJ....127.3553K,L4,2004AJ....127.3553K,,0,I+z,0,I+z,,100,0,0,0.0,103.87232315194495
3,2738415592529108096,1,1,Sp0002+0115,0.525907,1.260039,0,0,0,0,,2021-03-19 21:26:25,dsebastian,16.337,12.17,11.54,11.13,0.001,0.022,0.023,0.023,38.925,1,4.48,6.5,1.0,0.04,2749.0,105.0,20.8,0.1,0.098,0.001,0.122,0.01,0.0007719947295055,2.233356140325928e-05,,,M6.5e,2006A&A...446..515P,,0,I+z,0,I+z,,200,0,0,8.78299074039316,15.818806825597258
4,423130041883475968,1013,3,Sp0004+5843,1.031405,58.71682,0,0,0,0,,2021-03-19 21:26:25,dsebastian,18.371,13.7,12.99,12.48,0.003,0.043,0.043,0.035,0.0,3,3.19,7.4,1.1,1.79,2626.0,106.0,35.2,0.5,0.093,0.001,0.112,0.01,0.0005326910159617,2.608632443187228e-05,,,,,,0,I+z,0,I+z,,100,0,0,0.0,47.926373503505445
5,2414623952318068224,1014,2,Sp0004-1709,1.239817,-17.160267,0,0,0,0,,2021-03-19 21:26:25,dsebastian,14.605,11.0,10.46,10.08,0.001,0.022,0.021,0.021,0.0,2,3.8,5.0,0.9,0.0,2985.0,104.0,17.0,0.0,0.121,0.001,0.149,0.02,0.0015833973565561,5.762169576907067e-05,,,M5.5V,2012AJ....144...99D,,0,I+z,0,I+z,,100,0,0,0.0,6.696833531528837
6,2340736324254735488,2,1,Sp0004-2058,1.173014,-20.974966,0,0,0,0,,2021-03-19 21:26:25,atriaud,16.869,12.4,11.83,11.4,0.001,0.022,0.019,0.023,98.793,1,4.57,9.4,1.1,0.22,2329.0,104.0,15.1,0.0,0.079,0.0,0.11,0.01,0.0003210200287643,7.29558641489914e-06,M9,2018A&A...619L...8R,M7.0,2019ApJ...883..205B,,0,I+z,0,I+z,,200,0,0,0.0,25.81434264269716
7,4996141155411984128,1015,1,Sp0004-4044,1.146191,-40.73513,0,0,0,0,,2021-03-19 21:26:25,dsebastian,18.353,13.11,12.05,11.4,0.003,0.024,0.026,0.026,39.108,1,1.21,11.4,1.1,0.38,2041.0,105.0,12.2,0.1,0.074,0.0,0.086,0.01,0.0001148853446122,6.8019723284941055e-06,,,L5+L5,2008AJ....136.1290R,,0,I+z,0,I+z,,200,0,0,0.0,34.33235867297569
8,2739077223651402240,1016,3,Sp0005+0217,1.257625,2.286625,0,0,0,0,,2021-03-19 21:26:25,dsebastian,17.828,13.69,13.06,12.68,0.002,0.029,0.035,0.023,0.0,3,2.76,7.0,1.1,0.01,2690.0,105.0,39.1,0.3,0.093,0.001,0.119,0.01,0.0006652053831788,2.3800755049018503e-05,M7.5,2018A&A...619L...8R,,,,0,I+z,0,I+z,,100,0,0,0.0,46.82360429032204
9,2340605825968413184,3,3,Sp0005-2157,1.452162,-21.95549,0,0,0,0,,2021-03-19 21:26:25,dsebastian,17.626,13.27,12.62,12.2,0.002,0.025,0.024,0.03,0.0,3,3.57,8.4,1.1,0.07,2479.0,105.0,25.4,0.1,0.084,0.001,0.11,0.01,0.0004082914813263,9.993073580445496e-06,,,M8.7V,2014ApJ...794..143B,,0,I+z,0,I+z,,100,0,0,0.0,38.991153723210246
10,2741783362285662592,4,3,Sp0006+0439,1.609286,4.653242,0,0,0,0,,2021-03-19 21:26:25,dsebastian,17.017,12.96,12.35,12.01,0.001,0.026,0.026,0.024,0.0,3,3.5,7.2,1.1,0.0,2658.0,105.0,27.3,0.1,0.091,0.001,0.119,0.01,0.0006329179922133,1.8448920491979464e-05,M7.5,2018A&A...619L...8R,,,,0,I+z,0,I+z,,100,0,0,0.0,30.995998682881
